[-0.91242834  0.16926165  0.37259228],[-0.16794814 -0.98512935  0.03624332],[ 0.3731862  -0.02950675  0.92728712]
[-0.91162179 -0.1197606  -0.39319602],[ 0.09019615 -0.99158175  0.09289934],[-0.40101168  0.0492243   0.91474947]
[-0.99821849 -0.01074445 -0.05868899],[ 0.02243853 -0.97904367 -0.20241051],[-0.0552843  -0.2033668   0.97754058]
[-0.9710696  -0.02304482 -0.23768207],[ 0.06451183 -0.98363999 -0.16819806],[-0.22991749 -0.17866532  0.95666956]
[ 0.81957796 -0.07359986 -0.56822093],[-0.0403004  0.9818545 -0.1853041],[0.57154864 0.17477069 0.80174021]
[0.9121985  0.05031467 0.40664767],[-0.01244128  0.99537566 -0.09524973],[-0.40955965  0.08182744  0.90860616]
[ 0.79912076 -0.23549371 -0.55312632],[ 0.05720063  0.94569283 -0.3199893 ],[0.59844307 0.22407092 0.76919316]
[ 0.99778464 -0.01158334  0.06551057],[-0.05435522  0.42582474  0.90317153],[-0.03835776 -0.90473152  0.42425177]
[ 0.99871042 -0.01491404 -0.04852911],[0.04560303 0.68363638 0.72839664],[ 0.02231293 -0.72967039  0.6834349 ]
[ 0.99061556  0.07175634 -0.11632643],[0.02877426 0.72253534 0.69073491],[ 0.13361456 -0.68759996  0.71369002]
